series,episode,baker,last_name,result,technical,baker_age,baker_occupation,hometown,signature_bake,show_stopper,age,occupation
5,3,Chetna,Makan,IN,8,35,Fashion Designer,"Broadstairs, Kent",Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,35,Fashion Designer
5,3,Diana,Beard,IN,7,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Rustic Picnic Rolls,Sharing Savoury Pinwheel,69,Women's Institute (WI) Judge
5,3,Iain,Watters,IN,9,31,Construction Engineer,London/Belfast,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,31,Construction Engineer
5,3,Kate,Henry,IN,1,41,Furniture Restorer,"Brighton, East Sussex",Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",41,Furniture Restorer
5,3,Martha,Collison,IN,3,17,Student,"Ascot, Berkshire",Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,17,Student
5,3,Nancy,Birtwhistle,IN,5,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Cider and Walnut Crusty Rolls,'Full English' Stromboli,60,Retired Practice Manager
5,3,Norman,Calder,IN,4,66,Retired Naval Officer,"Portknockie, Moray",Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,66,Retired Naval Officer
5,3,Richard,Burr,IN,6,38,Builder,"Mill Hill, London",Rye and Cranberry Rolls,Pesto Pinwheel,38,Builder
5,3,Jordan,Cox,OUT,10,32,IT Manager,"Sneinton, Nottingham",Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,32,IT Manager
5,3,Luis,Troyano,STAR BAKER,2,42,Graphic Designer,"Poynton, Cheshire",Opposites Attract Rolls,Roscón de Reyes,42,Graphic Designer
5,4,Chetna,Makan,IN,3,35,Fashion Designer,"Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",35,Fashion Designer
5,4,Diana,Beard,IN,9,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,69,Women's Institute (WI) Judge
5,4,Kate,Henry,IN,7,41,Furniture Restorer,"Brighton, East Sussex",Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",41,Furniture Restorer
5,4,Luis,Troyano,IN,2,42,Graphic Designer,"Poynton, Cheshire",Pears in Puddings,Bakewell Alaska,42,Graphic Designer
5,4,Martha,Collison,IN,1,17,Student,"Ascot, Berkshire",Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,17,Student
5,4,Nancy,Birtwhistle,IN,4,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,60,Retired Practice Manager
5,4,Norman,Calder,IN,8,66,Retired Naval Officer,"Portknockie, Moray",Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,66,Retired Naval Officer
5,4,Iain,Watters,OUT,6,31,Construction Engineer,London/Belfast,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",31,Construction Engineer
5,4,Richard,Burr,STAR BAKER,5,38,Builder,"Mill Hill, London",Black Forest Chocolate Fondants,Tiramisu Baked Alaska,38,Builder
5,5,Chetna,Makan,IN,2,35,Fashion Designer,"Broadstairs, Kent",Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,35,Fashion Designer
5,5,Luis,Troyano,IN,6,42,Graphic Designer,"Poynton, Cheshire",Tropical Manchester Tart,Four Fruity Seasons Tower,42,Graphic Designer
5,5,Martha,Collison,IN,1,17,Student,"Ascot, Berkshire","Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,17,Student
5,5,Nancy,Birtwhistle,IN,4,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,60,Retired Practice Manager
5,5,Richard,Burr,IN,7,38,Builder,"Mill Hill, London",Fig and Orange Tart,Three Course Autumn Pie Feast,38,Builder
5,5,Norman,Calder,OUT,5,66,Retired Naval Officer,"Portknockie, Moray",Tarte au Citron,Pieful Tower,66,Retired Naval Officer
5,5,Kate,Henry,STAR BAKER,3,41,Furniture Restorer,"Brighton, East Sussex",Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",41,Furniture Restorer
5,5,Diana,Beard,WD,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,69,Women's Institute (WI) Judge
5,6,Diana,Beard,IN,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,69,Women's Institute (WI) Judge
5,6,Kate,Henry,IN,6,41,Furniture Restorer,"Brighton, East Sussex","Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,41,Furniture Restorer
5,6,Luis,Troyano,IN,3,42,Graphic Designer,"Poynton, Cheshire",Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,42,Graphic Designer
5,6,Martha,Collison,IN,4,17,Student,"Ascot, Berkshire",Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,17,Student
5,6,Nancy,Birtwhistle,IN,1,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,60,Retired Practice Manager
5,6,Richard,Burr,IN,5,38,Builder,"Mill Hill, London",Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,38,Builder
5,6,Chetna,Makan,STAR BAKER,2,35,Fashion Designer,"Broadstairs, Kent",Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,35,Fashion Designer
5,7,Chetna,Makan,IN,6,35,Fashion Designer,"Broadstairs, Kent",Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,35,Fashion Designer
5,7,Diana,Beard,IN,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,69,Women's Institute (WI) Judge
5,7,Luis,Troyano,IN,5,42,Graphic Designer,"Poynton, Cheshire",Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",42,Graphic Designer
5,7,Martha,Collison,IN,3,17,Student,"Ascot, Berkshire",Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,17,Student
5,7,Nancy,Birtwhistle,IN,2,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,60,Retired Practice Manager
5,7,Kate,Henry,OUT,4,41,Furniture Restorer,"Brighton, East Sussex",Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,41,Furniture Restorer
5,7,Richard,Burr,STAR BAKER,1,38,Builder,"Mill Hill, London",Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",38,Builder
5,8,Chetna,Makan,IN,1,35,Fashion Designer,"Broadstairs, Kent",Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,35,Fashion Designer
5,8,Diana,Beard,IN,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,69,Women's Institute (WI) Judge
5,8,Luis,Troyano,IN,2,42,Graphic Designer,"Poynton, Cheshire",Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",42,Graphic Designer
5,8,Nancy,Birtwhistle,IN,3,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",60,Retired Practice Manager
5,8,Martha,Collison,OUT,5,17,Student,"Ascot, Berkshire",Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,17,Student
5,8,Richard,Burr,STAR BAKER,4,38,Builder,"Mill Hill, London",Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,38,Builder
5,9,Diana,Beard,IN,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,69,Women's Institute (WI) Judge
5,9,Luis,Troyano,IN,1,42,Graphic Designer,"Poynton, Cheshire",Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",42,Graphic Designer
5,9,Nancy,Birtwhistle,IN,3,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,60,Retired Practice Manager
5,9,Chetna,Makan,OUT,4,35,Fashion Designer,"Broadstairs, Kent",Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",35,Fashion Designer
5,9,Richard,Burr,STAR BAKER,2,38,Builder,"Mill Hill, London",Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,38,Builder
5,10,Diana,Beard,IN,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,69,Women's Institute (WI) Judge
5,10,Luis,Troyano,Runner-up,2,42,Graphic Designer,"Poynton, Cheshire","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,42,Graphic Designer
5,10,Richard,Burr,Runner-up,3,38,Builder,"Mill Hill, London",Pear Pain au ChocolatPain Au Lait,Mill on the Hill,38,Builder
5,10,Nancy,Birtwhistle,WINNER,1,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,60,Retired Practice Manager
6,1,Alvin,Magallanes,IN,2,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,37,Nurse
6,1,Dorret,Conway,IN,5,53,Accountant,"Penwortham, Lancashire",Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,53,Accountant
6,1,Flora,Shedden,IN,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Blood Orange Madeira Cake,Black Forest Gâteau,19,Art gallery assistant
6,1,Ian,Cumming,IN,8,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Somewhere West of Madeira Cake,Black Forest Cherry Tree,41,Travel photographer
6,1,Mat,Riley,IN,7,37,Fire fighter,London,Gin and Tonic Madeira Cake,Black Forest Gateau,37,Fire fighter
6,1,Nadiya,Hussain,IN,12,30,Full-time mother,Leeds / Luton,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,30,Full-time mother
6,1,Paul,Jagger,IN,10,49,Prison governor,"Swansea, Wales","Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,49,Prison governor
6,1,Sandy,Docherty,IN,9,49,Child welfare officer,"Yeadon, West Yorkshire",Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,49,Child welfare officer
6,1,Tamal,Ray,IN,4,29,Trainee anaesthetist,Manchester,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,29,Trainee anaesthetist
6,1,Ugnė,Bubnaityte,IN,1,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Lemon and Thyme Madeira Cake,Falling Cup Gâteau,32,PA and administrator
6,1,Stu,Henshall,OUT,11,35,Professional musician,"Guildford, Surrey",Marley Madeira Cake,Purple Forest Gâteau,35,Professional musician
6,1,Marie,Campbell,STAR BAKER,3,66,Retired,"Auchterarder, Perthshire",Zingy Citrus Madeira Cake,A Walk in the Black Forest,66,Retired
6,2,Alvin,Magallanes,IN,6,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,37,Nurse
6,2,Dorret,Conway,IN,1,53,Accountant,"Penwortham, Lancashire",Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,53,Accountant
6,2,Flora,Shedden,IN,2,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Wedding Biscotti,Honey and Earl Grey Tea Box,19,Art gallery assistant
6,2,Mat,Riley,IN,5,37,Fire fighter,London,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,37,Fire fighter
6,2,Nadiya,Hussain,IN,9,30,Full-time mother,Leeds / Luton,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,30,Full-time mother
6,2,Paul,Jagger,IN,10,49,Prison governor,"Swansea, Wales","Chocolate, Hazelnut and Fig Biscotti",Memory Box,49,Prison governor
6,2,Sandy,Docherty,IN,4,49,Child welfare officer,"Yeadon, West Yorkshire",Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,49,Child welfare officer
6,2,Tamal,Ray,IN,8,29,Trainee anaesthetist,Manchester,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,29,Trainee anaesthetist
6,2,Ugnė,Bubnaityte,IN,7,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",White Wine Biscotti,Baby Climbing into the Cookie Box,32,PA and administrator
6,2,Marie,Campbell,OUT,11,66,Retired,"Auchterarder, Perthshire",Biscotti Italiano,Russian Box,66,Retired
6,2,Ian,Cumming,STAR BAKER,3,41,Travel photographer,"Great Wilbraham, Cambridgeshire","Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,41,Travel photographer
6,3,Alvin,Magallanes,IN,4,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,37,Nurse
6,3,Flora,Shedden,IN,2,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Fig and Hazelnut Rye Breads,Herb Couture,19,Art gallery assistant
6,3,Mat,Riley,IN,8,37,Fire fighter,London,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,37,Fire fighter
6,3,Nadiya,Hussain,IN,9,30,Full-time mother,Leeds / Luton,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,30,Full-time mother
6,3,Paul,Jagger,IN,10,49,Prison governor,"Swansea, Wales",Cranberry and Orange Sweet Soda Breads,King of the Jungle,49,Prison governor
6,3,Sandy,Docherty,IN,7,49,Child welfare officer,"Yeadon, West Yorkshire",Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,49,Child welfare officer
6,3,Tamal,Ray,IN,3,29,Trainee anaesthetist,Manchester,"Fig, Cheese and Walnut Breads",Breadcycle,29,Trainee anaesthetist
6,3,Ugnė,Bubnaityte,IN,5,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,32,PA and administrator
6,3,Dorret,Conway,OUT,6,53,Accountant,"Penwortham, Lancashire",Walnut and Stilton Soda Breads,Unmade Bread,53,Accountant
6,3,Ian,Cumming,STAR BAKER,1,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Wild Garlic Pesto Soda Breads,Flour Power,41,Travel photographer
6,4,Alvin,Magallanes,IN,9,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,37,Nurse
6,4,Flora,Shedden,IN,3,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,19,Art gallery assistant
6,4,Mat,Riley,IN,7,37,Fire fighter,London,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,37,Fire fighter
6,4,Nadiya,Hussain,IN,8,30,Full-time mother,Leeds / Luton,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,30,Full-time mother
6,4,Paul,Jagger,IN,1,49,Prison governor,"Swansea, Wales",Almond Crème Brûlées,Berry Cheesecake Tower,49,Prison governor
6,4,Tamal,Ray,IN,5,29,Trainee anaesthetist,Manchester,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",29,Trainee anaesthetist
6,4,Ugnė,Bubnaityte,IN,2,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",32,PA and administrator
6,4,Sandy,Docherty,OUT,6,49,Child welfare officer,"Yeadon, West Yorkshire",Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",49,Child welfare officer
6,4,Ian,Cumming,STAR BAKER,4,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,41,Travel photographer
6,5,Alvin,Magallanes,IN,8,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",37,Nurse
6,5,Flora,Shedden,IN,3,19,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,19,Art gallery assistant
6,5,Ian,Cumming,IN,5,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Honey and Flowers Cake,Dessert Island,41,Travel photographer
6,5,Mat,Riley,IN,4,37,Fire fighter,London,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,37,Fire fighter
6,5,Paul,Jagger,IN,2,49,Prison governor,"Swansea, Wales",Carrot & Pecan Cake,Dessert Island Getaway,49,Prison governor
6,5,Tamal,Ray,IN,7,29,Trainee anaesthetist,Manchester,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,29,Trainee anaesthetist
6,5,Ugnė,Bubnaityte,OUT,6,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",32,PA and administrator
6,5,Nadiya,Hussain,STAR BAKER,1,30,Full-time mother,Leeds / Luton,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,30,Full-time mother
6,6,Flora,Shedden,IN,2,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,19,Art gallery assistant
6,6,Ian,Cumming,IN,3,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,41,Travel photographer
6,6,Nadiya,Hussain,IN,4,30,Full-time mother,Leeds / Luton,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,30,Full-time mother
6,6,Paul,Jagger,IN,5,49,Prison governor,"Swansea, Wales",Christmas Frangipane Tart,Savoury and Sweet Bouchées,49,Prison governor
6,6,Tamal,Ray,IN,7,29,Trainee anaesthetist,Manchester,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,29,Trainee anaesthetist
6,6,Alvin,Magallanes,OUT,6,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,37,Nurse
6,6,Mat,Riley,STAR BAKER,1,37,Fire fighter,London,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,37,Fire fighter
6,7,Flora,Shedden,IN,4,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",19,Art gallery assistant
6,7,Ian,Cumming,IN,5,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Roadkill Pie,Victoria's Crown Charlotte Russe,41,Travel photographer
6,7,Nadiya,Hussain,IN,1,30,Full-time mother,Leeds / Luton,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,30,Full-time mother
6,7,Paul,Jagger,IN,2,49,Prison governor,"Swansea, Wales",Not a Boaring Pie,Charlotte Rose,49,Prison governor
6,7,Mat,Riley,OUT,6,37,Fire fighter,London,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,37,Fire fighter
6,7,Tamal,Ray,STAR BAKER,3,29,Trainee anaesthetist,Manchester,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",29,Trainee anaesthetist
6,8,Flora,Shedden,IN,3,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,19,Art gallery assistant
6,8,Ian,Cumming,IN,2,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,41,Travel photographer
6,8,Tamal,Ray,IN,4,29,Trainee anaesthetist,Manchester,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,29,Trainee anaesthetist
6,8,Paul,Jagger,OUT,5,49,Prison governor,"Swansea, Wales",Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,49,Prison governor
6,8,Nadiya,Hussain,STAR BAKER,1,30,Full-time mother,Leeds / Luton,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,30,Full-time mother
